input_idx,layer_name,layer_type,op_type,M,K,P,input_sparsity,output_sparsity,weight_sparsity,input_shape,output_shape,attention_sparsity
0,encoder.layer.2.attention.self.key,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.2.attention.self.value,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.2.attention.output.dense,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.2.intermediate.dense,Linear,MM,32,768,3072,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 3072)",0.0
0,encoder.layer.2.output.dense,Linear,MM,32,3072,768,0.0,0.0,0.0,"(1, 32, 3072)","(1, 32, 768)",0.0
0,encoder.layer.3.attention.self.query,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.3.attention.self.key,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.3.attention.self.value,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.3.attention.output.dense,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.3.intermediate.dense,Linear,MM,32,768,3072,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 3072)",0.0
0,encoder.layer.3.output.dense,Linear,MM,32,3072,768,0.0,0.0,0.0,"(1, 32, 3072)","(1, 32, 768)",0.0
0,encoder.layer.4.attention.self.query,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.4.attention.self.key,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.4.attention.self.value,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.4.attention.output.dense,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.4.intermediate.dense,Linear,MM,32,768,3072,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 3072)",0.0
0,encoder.layer.4.output.dense,Linear,MM,32,3072,768,0.0,0.0,4.238552517361111e-07,"(1, 32, 3072)","(1, 32, 768)",0.0
0,encoder.layer.5.attention.self.query,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.5.attention.self.key,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.5.attention.self.value,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.5.attention.output.dense,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.5.intermediate.dense,Linear,MM,32,768,3072,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 3072)",0.0
0,encoder.layer.5.output.dense,Linear,MM,32,3072,768,0.0,0.0,0.0,"(1, 32, 3072)","(1, 32, 768)",0.0
0,encoder.layer.6.attention.self.query,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.6.attention.self.key,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.6.attention.self.value,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.6.attention.output.dense,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.6.intermediate.dense,Linear,MM,32,768,3072,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 3072)",0.0
0,encoder.layer.6.output.dense,Linear,MM,32,3072,768,0.0,0.0,0.0,"(1, 32, 3072)","(1, 32, 768)",0.0
0,encoder.layer.7.attention.self.query,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.7.attention.self.key,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.7.attention.self.value,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.7.attention.output.dense,Linear,MM,32,768,768,0.0,0.0,0.0,"(1, 32, 768)","(1, 32, 768)",0.0
0,encoder.layer.7.intermediate.dense,Linear,MM,32,768,3072,0.0,0.0,4.238552517361111e-07,"(1, 32, 768)","(1, 32, 3072)",0.0
0,encoder.layer.7.output.dense,Linear,MM,32,3072,768,0.0,0.0,0.0,"(1, 32, 3072)","(1, 32, 768)",0.0
